"","funding_round_investment_type","funding_round_year","funding_round_amount_usd_per_invsestor","funding_round_investor_count","investee_category_1","investee_category_2","investee_category_3","investee_category_groups_1","investee_category_groups_2","investee_category_groups_3","investee_employee_count","investee_org_founded_on","investee_org_name","investee_city_region_country","investee_urban_center_final","investee_country_code","investee_world_region","investee_world_sub_region","investor_name","investor_type","investor_class_1","investor_class_3","investor_class_2","investor_investment_count","investor_total_funding_usd","investor_category_list_1","investor_category_list_2","investor_category_list_3","investor_category_group_1","investor_category_group_2","investor_category_group_3","investor_employee_count","investor_city_region_country","investor_urban_center_final","investor_country_code","investor_world_region","investor_world_sub_region","investment_source","distance_km","investor_uuid","investee_org_uuid","funding_round_uuid"
"11","series_b",2006,5500000,5,"Augmented Reality","Social Media","Social Network","Hardware","Internet Services","Media and Entertainment","10000+",NA,"Meta","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","SVA","organization","venture_capital",NA,NA,1396,0,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"1-10","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",42.1969729667974,"902deab4-ec41-68ce-d9df-c0c959578176","df662812-7f97-0b43-9d3e-12f64f504fbb","6fae3958-a001-27c0-fb7e-666266aedd78"
"12","series_b",2006,5500000,5,"Augmented Reality","Social Media","Social Network","Hardware","Internet Services","Media and Entertainment","10000+",NA,"Meta","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","Accel","organization","venture_capital",NA,NA,1940,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"501-1000","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",1.81509696855018,"b08efc27-da40-505a-6f9d-c9e14247bf36","df662812-7f97-0b43-9d3e-12f64f504fbb","6fae3958-a001-27c0-fb7e-666266aedd78"
"13","series_b",2006,5250000,2,"Image Recognition","Mobile","Photography","Content and Publishing","Data and Analytics","Media and Entertainment","101-250",NA,"Photobucket","Denver, Colorado, USA","Denver, Colorado, USA","USA","Americas","Northern America","Trinity Ventures","organization","venture_capital",NA,NA,468,NA,"Finance","Venture Capital",NA,"Financial Services","Lending and Investments",NA,"11-50","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",1514.93291039379,"7ca12f7a-2f8e-48b4-a8d1-1a33a0e275b9","f53cb4de-236e-0b1b-dee8-7104a8b018f9","bcd5a63d-ed99-6963-0dd2-e36f6582f846"
"14","series_b",2006,5250000,2,"Image Recognition","Mobile","Photography","Content and Publishing","Data and Analytics","Media and Entertainment","101-250",NA,"Photobucket","Denver, Colorado, USA","Denver, Colorado, USA","USA","Americas","Northern America","Chris Sacca","person","investment_partner",NA,"angel",41,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"1-10","Truckee, California, USA","Truckee, USA","USA","Americas","Northern America","outside",1304.10208523052,"9391eef8-5161-48fa-4384-531146354639","f53cb4de-236e-0b1b-dee8-7104a8b018f9","bcd5a63d-ed99-6963-0dd2-e36f6582f846"
"15","series_a",2007,NA,1,"Collaboration","Communities",NA,"Community and Lifestyle","Other",NA,"11-50",NA,"Geni","West Hollywood, California, USA","Los Angeles, USA","USA","Americas","Northern America","Founders Fund","organization","venture_capital",NA,NA,853,NA,"Angel Investment","Finance","Financial Services","Financial Services","Lending and Investments",NA,"11-50","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",549.169559494018,"fb2f8884-ec07-895a-48d7-d9a9d4d7175c","4111dc8b-c0df-2d24-ed33-30cd137b3098","60e6afd9-1215-465a-dd17-0ed600d4e29b"
"16","series_b",2007,1e+07,1,"Collaboration","Communities",NA,"Community and Lifestyle","Other",NA,"11-50",NA,"Geni","West Hollywood, California, USA","Los Angeles, USA","USA","Americas","Northern America","CRV","organization","venture_capital",NA,NA,659,NA,"Consumer","Enterprise","FinTech","Financial Services","Lending and Investments","Other","11-50","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",506.318751129001,"1787528e-7bd3-a500-ba86-ac55205e7e21","4111dc8b-c0df-2d24-ed33-30cd137b3098","4a56483e-d637-65fa-a2b4-abe6613e5c6b"
"17","seed",2005,375000,4,"Content","Internet","Personalization","Commerce and Shopping","Internet Services","Media and Entertainment","101-250",NA,"StumbleUpon","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","First Round Capital","organization","venture_capital",NA,NA,887,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"251-500","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","inside",0,"043d9e52-dcc0-0dd8-6074-206e42e20e13","3d16cb4c-911e-75c0-de5a-15c316b39f98","7066cfde-674a-0fc4-514c-bf3c9b0d7b2e"
"18","seed",2005,375000,4,"Content","Internet","Personalization","Commerce and Shopping","Internet Services","Media and Entertainment","101-250",NA,"StumbleUpon","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Ram Shriram","person","investment_partner",NA,"angel",36,NA,"Venture Capital",NA,NA,"Financial Services","Lending and Investments",NA,"1-10","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",42.1969729667974,"d42f37dd-84af-a978-7ca6-703ab534dde7","3d16cb4c-911e-75c0-de5a-15c316b39f98","7066cfde-674a-0fc4-514c-bf3c9b0d7b2e"
"19","seed",2005,375000,4,"Content","Internet","Personalization","Commerce and Shopping","Internet Services","Media and Entertainment","101-250",NA,"StumbleUpon","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Mitchell Kapor","person","investment_partner",NA,"angel",55,NA,NA,NA,NA,NA,NA,NA,NA,"Oakland, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",13.3709587324347,"f5221e93-bde4-70fb-56bf-1da241e5a827","3d16cb4c-911e-75c0-de5a-15c316b39f98","7066cfde-674a-0fc4-514c-bf3c9b0d7b2e"
"20","seed",2005,375000,4,"Content","Internet","Personalization","Commerce and Shopping","Internet Services","Media and Entertainment","101-250",NA,"StumbleUpon","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Ronald Conway","person","investment_partner",NA,"angel",103,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"1-10","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","inside",0,"43b343a7-ff56-090a-63fa-5f833e55ea6d","3d16cb4c-911e-75c0-de5a-15c316b39f98","7066cfde-674a-0fc4-514c-bf3c9b0d7b2e"
"21","series_a",2007,2100000,3,"3D Technology","Developer Tools",NA,"Hardware","Software",NA,"unknown",NA,"Gizmoz","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","Columbia Capital","organization","venture_capital",NA,NA,196,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"11-50","Alexandria, Virginia, USA","Washington D.C., USA","USA","Americas","Northern America","outside",335.845782125428,"86aace17-c860-1f72-d272-94999baad33b","56b5f0c1-855f-2ebb-083f-16641f1db2e1","0c000adf-4d17-3ebe-bbfc-74d7e691f9e8"
"22","series_a",2007,2100000,3,"3D Technology","Developer Tools",NA,"Hardware","Software",NA,"unknown",NA,"Gizmoz","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","Benchmark","organization","venture_capital",NA,NA,677,NA,"Angel Investment","Finance","Venture Capital","Financial Services","Lending and Investments",NA,"11-50","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",4133.59610583857,"fe2d1e8b-f607-3c9f-fad7-98fb8412f77e","56b5f0c1-855f-2ebb-083f-16641f1db2e1","0c000adf-4d17-3ebe-bbfc-74d7e691f9e8"
